DATE,WEEKDAY,HOLIDAY,WORKDAY
12/1/2016,Y,N,Y
12/2/2016,Y,N,Y
12/3/2016,N,N,N
12/4/2016,N,N,N
12/5/2016,Y,N,Y
12/6/2016,Y,N,Y
12/7/2016,Y,N,Y
12/8/2016,Y,N,Y
12/9/2016,Y,N,Y
12/10/2016,N,N,N
12/11/2016,N,N,N
12/12/2016,Y,N,Y
12/13/2016,Y,N,Y
12/14/2016,Y,N,Y
12/15/2016,Y,N,Y
12/16/2016,Y,N,Y
12/17/2016,N,N,N
12/18/2016,N,N,N
12/19/2016,Y,N,Y
12/20/2016,Y,N,Y
12/21/2016,Y,N,Y
12/22/2016,Y,N,Y
12/23/2016,Y,N,Y
12/24/2016,N,Y,N
12/25/2016,N,Y,N
12/26/2016,Y,Y,N
12/27/2016,Y,N,Y
12/28/2016,Y,N,Y
12/29/2016,Y,N,Y
12/30/2016,Y,N,Y
12/31/2016,N,Y,N
