Instant,Season,year,dteday,mnth,holiday,weekday,WorkingDay,weathersit,temp,atemp,hum,windspeed
ID-531,Summer,2012,6/14/2012,6,No,4,Yes,Clear,0.648333,0.624383,0.569583,0.253733
ID-532,Summer,2012,6/15/2012,6,No,5,Yes,Clear,0.639167,0.599754,0.589583,0.176617
ID-533,Summer,2012,6/16/2012,6,No,6,No,Clear,0.631667,0.594708,0.504167,0.166667
ID-534,Summer,2012,6/17/2012,6,No,0,No,Clear,0.5925,0.571975,0.59875,0.144904
ID-535,Summer,2012,6/18/2012,6,No,1,Yes,Cloudy,0.568333,0.544842,0.777917,0.174746
ID-536,Summer,2012,6/19/2012,6,No,2,Yes,Clear,0.688333,0.654692,0.69,0.148017
ID-537,Summer,2012,6/20/2012,6,No,3,Yes,Clear,0.7825,0.720975,0.592083,0.113812
ID-538,Fall,2012,6/21/2012,6,No,4,Yes,Clear,0.805833,0.752542,0.567917,0.118787
ID-539,Fall,2012,6/22/2012,6,No,5,Yes,Clear,0.7775,0.724121,0.57375,0.182842
ID-540,Fall,2012,6/23/2012,6,No,6,No,Clear,0.731667,0.652792,0.534583,0.179721
ID-541,Fall,2012,6/24/2012,6,No,0,No,Clear,0.743333,0.674254,0.479167,0.145525
ID-542,Fall,2012,6/25/2012,6,No,1,Yes,Clear,0.715833,0.654042,0.504167,0.300383
ID-543,Fall,2012,6/26/2012,6,No,2,Yes,Clear,0.630833,0.594704,0.373333,0.347642
ID-544,Fall,2012,6/27/2012,6,No,3,Yes,Clear,0.6975,0.640792,0.36,0.271775
ID-545,Fall,2012,6/28/2012,6,No,4,Yes,Clear,0.749167,0.675512,0.4225,0.17165
ID-546,Fall,2012,6/29/2012,6,No,5,Yes,Clear,0.834167,0.786613,0.48875,0.165417
ID-547,Fall,2012,6/30/2012,6,No,6,No,Clear,0.765,0.687508,0.60125,0.161071
ID-548,Fall,2012,7/1/2012,7,No,0,No,Clear,0.815833,0.750629,0.51875,0.168529
ID-549,Fall,2012,7/2/2012,7,No,1,Yes,Clear,0.781667,0.702038,0.447083,0.195267
ID-550,Fall,2012,7/3/2012,7,No,2,Yes,Clear,0.780833,0.70265,0.492083,0.126237
ID-551,Fall,2012,7/4/2012,7,Yes,3,No,Clear,0.789167,0.732337,0.53875,0.13495
ID-552,Fall,2012,7/5/2012,7,No,4,Yes,Clear,0.8275,0.761367,0.457917,0.194029
